,P1,P2,P1 Score,P2 Score
369,DMC,Random,0.0938,-0.0938
370,DQN,NFSP,0.1228,-0.1228
371,Random,NFSP,0.0128,-0.0128
372,DQN,DMC,0.0714,-0.0714
373,DMC,DMC,0.035,-0.035
374,DMC,NFSP,0.0504,-0.0504
375,Rule Model,NFSP,0.1142,-0.1142
376,Random,DMC,-0.0528,0.0528
377,Random,DQN,-0.1228,0.1228
378,DMC,Rule Model,-0.0302,0.0302
379,NFSP,Random,0.014,-0.014
380,Rule Model,NFSP,0.0846,-0.0846
381,NFSP,DMC,-0.0086,0.0086
382,Rule Model,NFSP,0.117,-0.117
383,DQN,Rule Model,0.047,-0.047
384,DQN,DQN,-0.0156,0.0156
385,NFSP,DQN,-0.1354,0.1354
386,NFSP,DQN,-0.1174,0.1174
387,DMC,DQN,-0.0366,0.0366
388,DQN,DQN,-0.023,0.023
389,NFSP,DMC,-0.015,0.015
390,Rule Model,NFSP,0.0846,-0.0846
391,NFSP,Random,0.014,-0.014
392,DMC,Rule Model,-0.0358,0.0358
393,Random,DQN,-0.1228,0.1228
394,Random,DMC,-0.0556,0.0556
395,DMC,DMC,0.0348,-0.0348
396,NFSP,DMC,-0.0194,0.0194
397,Random,NFSP,0.0128,-0.0128
398,DQN,NFSP,0.1366,-0.1366
399,Random,NFSP,0.0034,-0.0034
400,NFSP,Random,0.0026,-0.0026
401,DMC,Random,0.0952,-0.0952
402,DQN,NFSP,0.1124,-0.1124
403,DMC,NFSP,0.0428,-0.0428
404,DMC,NFSP,0.0374,-0.0374
405,Rule Model,Random,0.0842,-0.0842
406,DQN,NFSP,0.1142,-0.1142
407,DQN,NFSP,0.1406,-0.1406
408,DMC,Random,0.07,-0.07
409,Random,NFSP,-0.002,0.002
410,DMC,DMC,0.0272,-0.0272
411,DQN,DMC,0.0768,-0.0768
412,Random,DMC,-0.05,0.05
413,Rule Model,NFSP,0.1066,-0.1066
414,Random,DQN,-0.1228,0.1228
415,DMC,DQN,-0.033,0.033
416,Rule Model,NFSP,0.0846,-0.0846
417,NFSP,DMC,-0.0262,0.0262
418,NFSP,DMC,-0.026,0.026
419,DQN,Rule Model,0.0534,-0.0534
420,DMC,DQN,-0.0646,0.0646
421,NFSP,DQN,-0.1366,0.1366
422,DQN,DQN,-0.02,0.02
423,DMC,DQN,-0.0606,0.0606
424,NFSP,DQN,-0.1198,0.1198
425,DQN,Rule Model,0.0314,-0.0314
426,NFSP,DMC,-0.0246,0.0246
427,Rule Model,NFSP,0.0846,-0.0846
428,NFSP,Random,-0.0192,0.0192
429,DMC,DQN,-0.03,0.03
430,Random,DQN,-0.1228,0.1228
431,DMC,Rule Model,-0.038,0.038
432,Rule Model,NFSP,0.094,-0.094
433,DMC,DQN,-0.0832,0.0832
434,DQN,DMC,0.0988,-0.0988
435,Random,NFSP,-0.0014,0.0014
436,DMC,Random,0.0596,-0.0596
437,Random,NFSP,0.013,-0.013
438,DQN,NFSP,0.1376,-0.1376
439,DQN,NFSP,0.129,-0.129
440,Rule Model,Random,0.0842,-0.0842
441,DMC,NFSP,0.036,-0.036
442,NFSP,DQN,-0.0916,0.0916
443,Rule Model,DQN,-0.0032,0.0032
444,DMC,NFSP,0.0616,-0.0616
445,NFSP,NFSP,0.0262,-0.0262
446,Random,Rule Model,-0.0966,0.0966
447,NFSP,NFSP,0.0174,-0.0174
448,DQN,NFSP,0.121,-0.121
449,Random,Random,0.0212,-0.0212
450,NFSP,DMC,-0.0408,0.0408
451,Rule Model,DMC,0.0524,-0.0524
452,DQN,DMC,0.0702,-0.0702
453,Rule Model,DQN,-0.0332,0.0332
454,DQN,NFSP,0.1384,-0.1384
455,DMC,DQN,-0.0744,0.0744
456,Random,DQN,-0.1226,0.1226
457,NFSP,DMC,-0.049,0.049
458,DMC,Rule Model,-0.0388,0.0388
459,DMC,DMC,0.0158,-0.0158
460,DMC,Random,0.0512,-0.0512
461,DQN,Rule Model,0.0234,-0.0234
462,DQN,DMC,0.0648,-0.0648
463,DMC,DQN,-0.0692,0.0692
464,NFSP,NFSP,-0.0004,0.0004
465,DQN,DQN,0.0048,-0.0048
466,DQN,DQN,0.0232,-0.0232
467,DQN,DQN,0.0048,-0.0048
468,DQN,DQN,0.0108,-0.0108
469,NFSP,NFSP,0.0118,-0.0118
470,DMC,DQN,-0.0716,0.0716
471,DQN,DMC,0.088,-0.088
472,DQN,Rule Model,0.0234,-0.0234
473,DMC,Random,0.059,-0.059
474,DMC,DMC,-0.0112,0.0112
475,NFSP,DQN,-0.09,0.09
476,DMC,Rule Model,-0.0106,0.0106
477,NFSP,DMC,-0.0506,0.0506
478,Random,DQN,-0.115,0.115
479,DMC,DQN,-0.0458,0.0458
480,DQN,NFSP,0.1478,-0.1478
481,Rule Model,DQN,-0.0334,0.0334
482,DQN,Rule Model,0.0454,-0.0454
483,NFSP,DMC,-0.0402,0.0402
484,Random,Random,0.0212,-0.0212
485,Rule Model,DMC,0.0576,-0.0576
486,Random,DMC,-0.0646,0.0646
487,DQN,NFSP,0.121,-0.121
488,NFSP,NFSP,0.0016,-0.0016
489,NFSP,Rule Model,-0.0974,0.0974
490,Random,Rule Model,-0.0966,0.0966
491,DMC,NFSP,0.0632,-0.0632
492,NFSP,NFSP,0.026,-0.026
493,NFSP,DQN,-0.0916,0.0916
494,Rule Model,DQN,-0.0104,0.0104
495,Random,Rule Model,-0.0776,0.0776
496,NFSP,NFSP,0.0154,-0.0154
497,DMC,NFSP,0.0552,-0.0552
498,Random,DMC,-0.033,0.033
499,DQN,NFSP,0.1182,-0.1182
500,DMC,NFSP,0.06,-0.06
501,NFSP,NFSP,0.0008,-0.0008
502,Rule Model,DMC,0.0248,-0.0248
503,NFSP,DMC,-0.0326,0.0326
504,Rule Model,DQN,-0.0308,0.0308
505,DQN,Random,0.1182,-0.1182
506,DQN,DMC,0.092,-0.092
507,DQN,NFSP,0.1296,-0.1296
508,Random,DMC,-0.0266,0.0266
509,Random,DQN,-0.1324,0.1324
510,NFSP,DMC,-0.0544,0.0544
511,NFSP,DQN,-0.0908,0.0908
512,DMC,DMC,-0.0098,0.0098
513,DQN,Rule Model,0.0234,-0.0234
514,DQN,DMC,0.0646,-0.0646
515,DMC,DQN,-0.0746,0.0746
516,NFSP,NFSP,0.0094,-0.0094
517,DQN,DQN,0.0128,-0.0128
518,DQN,DQN,0.0172,-0.0172
519,DQN,DQN,0.0272,-0.0272
520,NFSP,NFSP,0.0048,-0.0048
521,DMC,DQN,-0.0864,0.0864
522,DQN,DMC,0.0676,-0.0676
523,DQN,Rule Model,0.0234,-0.0234
524,DMC,DMC,0.0022,-0.0022
525,NFSP,DQN,-0.0986,0.0986
526,NFSP,DMC,-0.0434,0.0434
527,DMC,DQN,-0.0442,0.0442
528,DQN,DMC,0.0816,-0.0816
529,DQN,Random,0.1182,-0.1182
530,Rule Model,DQN,-0.0232,0.0232
531,Rule Model,DMC,0.0352,-0.0352
532,NFSP,DMC,-0.0274,0.0274
533,Random,Random,0.0136,-0.0136
534,DQN,Random,0.1182,-0.1182
535,DMC,NFSP,0.0642,-0.0642
536,NFSP,NFSP,-0.009,0.009
537,Random,DMC,-0.0272,0.0272
538,NFSP,NFSP,0.0092,-0.0092
539,Rule Model,DQN,-0.0104,0.0104
540,NFSP,DQN,-0.077,0.077
541,Random,Rule Model,-0.0966,0.0966
542,NFSP,NFSP,0.0114,-0.0114
543,NFSP,DQN,-0.0916,0.0916
544,Rule Model,DQN,-0.0104,0.0104
545,Random,Random,0.0212,-0.0212
546,NFSP,DMC,-0.036,0.036
547,Rule Model,DMC,0.05,-0.05
548,DQN,NFSP,0.121,-0.121
549,NFSP,NFSP,-0.012,0.012
550,Rule Model,DQN,-0.018,0.018
551,Rule Model,Rule Model,0.002,-0.002
552,DQN,NFSP,0.1476,-0.1476
553,DMC,DQN,-0.0678,0.0678
554,DMC,DMC,-0.0238,0.0238
555,Random,DQN,-0.1246,0.1246
556,DMC,DQN,-0.054,0.054
557,DMC,DMC,0.0286,-0.0286
558,NFSP,DQN,-0.1172,0.1172
559,NFSP,Rule Model,-0.0934,0.0934
560,NFSP,NFSP,-0.0058,0.0058
561,DMC,DQN,-0.074,0.074
562,DQN,DMC,0.0802,-0.0802
563,DQN,DQN,0.0048,-0.0048
564,DQN,DQN,0.0236,-0.0236
565,NFSP,NFSP,0.0124,-0.0124
566,NFSP,NFSP,0.02,-0.02
567,DQN,DQN,0.0048,-0.0048
568,DQN,DQN,-0.0008,0.0008
569,Rule Model,DMC,0.046,-0.046
570,DQN,DMC,0.0682,-0.0682
571,DQN,Rule Model,0.0352,-0.0352
572,DMC,DQN,-0.0874,0.0874
573,NFSP,NFSP,-0.0058,0.0058
574,NFSP,Rule Model,-0.0842,0.0842
575,NFSP,DQN,-0.1104,0.1104
576,DMC,DMC,-0.0156,0.0156
577,DMC,DQN,-0.0506,0.0506
